platform_ID,platform_name,industry,home_country_name,home_country_iso3c,developer_portal_url,PLAT,PLAT_Notes,search_status
CA26,ETI Sound Systems Inc,CA,United States,USA,,NONE,"ETI Sound - Car audio, no developer portal",NO_PORTAL
CA27,Faurecia SA,CA,France,FRA,https://appning.com/developers/,REGISTRATION,Faurecia/Forvia Appning platform for automotive apps,COMPLETE
CA29,Fine Digital Corp,CA,South Korea,KOR,,NONE,"Fine Digital Korea - Black boxes/dash cams, no API",NO_PORTAL
CA30,Flyaudio Corp,CA,China,CHN,,NONE,"Flyaudio China - Car infotainment, no public API",NO_PORTAL
CA31,Focal-JMlab SAS,CA,France,FRA,,NONE,"Focal France - Premium car audio, no API",NO_PORTAL
CA32,Funai Electric Co Ltd,CA,Japan,JPN,,NONE,"Funai Japan - Electronics OEM, no public API",NO_PORTAL
CA42,Huizhou Foryou General Electronics Co Ltd,CA,China,CHN,,NONE,"Foryou Electronics China - Car audio OEM, no API",NO_PORTAL
CA43,Hyundai Corp,CA,South Korea,KOR,https://developers.hyundai.com,RESTRICTED,Hyundai - Connected car services are dealer/B2B restricted,SEARCHED
CA47,JL Audio Inc,CA,United States,USA,,NONE,"JL Audio - Premium car audio, no developer API",NO_PORTAL
CA48,Kovan International Co Ltd,CA,Taiwan,TWN,,NONE,"Kovan Taiwan - Display manufacturer, no API",NO_PORTAL
CA50,Maction Technologies Inc,CA,Taiwan,TWN,,NONE,"Maction Taiwan - Car cameras, no API",NO_PORTAL
CA51,Maestro Badenia Akustik & Elektronik GmbH,CA,Germany,DEU,,NONE,"Maestro Badenia Germany - Car audio, no API",NO_PORTAL
CA52,Maka Technologies Group,CA,China,CHN,,NONE,"Maka Technologies China - Car multimedia, no API",NO_PORTAL
CA54,Marvel Autor SRL,CA,Romania,ROU,,NONE,"Small car electronics company, no public developer API found",NO_PORTAL
CA59,MiTAC International Corp,CA,Taiwan,TWN,,NONE,Session 10: Scraper DNS timeout. No scrapeable content. Changed PLAT to NONE.,COMPLETED
CA60,Mitek Corp,CA,Japan,JPN,https://developer.us.mitekcloud.com/,REGISTRATION,Gemini verification: NONE→REGISTRATION (Mitek Systems provides the MiSnap SDK with registration-base) | URL corrected via web search,GEMINI_VERIFIED
CA61,Movilson SRL,CA,Argentina,ARG,,NONE,"Small car electronics company, no public developer API found",NO_PORTAL
CA62,Mystery Electronics Ltd,CA,Russia,RUS,,NONE,"Small car electronics company, no public developer API found",NO_PORTAL
CA63,Navitel Poland Sp zoo,CA,Poland,POL,,REGISTRATION,"Reverted PUBLIC→REGISTRATION: Navitel - link redirects to company site, no PUBLIC portal evidence",REVERTED
CA68,Panasonic Automotive Systems Co Ltd,CA,Japan,JPN,,NONE,"Small car electronics company, no public developer API found",NO_PORTAL
CA70,Pioneer Corp,CA,Japan,JPN,https://pioneer-carsound.eu/partner-api,NONE,Reclassified to NONE (Feb 2026): Pioneer developer portal no longer exists. Gemini verification returned UNCERTAIN - no active developer program found. Pioneer acquired by Onkyo.,NO_PORTAL
CA72,Premier Elektronik Paz Dag San ve Tic AS,CA,Turkey,TUR,,NONE,"Small car electronics company, no public developer API found",NO_PORTAL
CA73,PST Eletrônica SA,CA,Brazil,BRA,,NONE,"Small car electronics company, no public developer API found",NO_PORTAL
CA75,Roadstar Group,CA,Germany,DEU,,NONE,"Small car electronics company, no public developer API found",NO_PORTAL
CA76,Rockford Corp,CA,United States,USA,,NONE,"Small car electronics company, no public developer API found",NO_PORTAL
CA78,Sansui Electric Co Ltd,CA,Japan,JPN,,NONE,"Small car electronics company, no public developer API found",NO_PORTAL
CA79,Saturn Hi-Tech Group AG,CA,Germany,DEU,,NONE,"Small car electronics company, no public developer API found",NO_PORTAL
CA81,Sound United LLC,CA,United States,USA,,NONE,"Small car electronics company, no public developer API found",NO_PORTAL
CA82,Stillwater Designs Inc,CA,United States,USA,,NONE,"Small car electronics company, no public developer API found",NO_PORTAL
CA83,Supra Technologies Ltd,CA,Russia,RUS,,NONE,"Small car electronics company, no public developer API found",NO_PORTAL
CA84,Symphony Inc,CA,Egypt,EGY,,NONE,"Small car electronics company, no public developer API found",NO_PORTAL
CA86,Thinkware Co Ltd,CA,South Korea,KOR,https://developer.thinkware.com,NONE,Reclassified to NONE (Feb 2026): Thinkware developer portal no longer exists. Gemini verification returned UNCERTAIN - dashcam company with no public developer program.,NO_PORTAL
CA87,Thomas K L Indústria de Alto Falantes Ltda,CA,Brazil,BRA,,NONE,"Small car electronics company, no public developer API found",NO_PORTAL
CA89,Tuning 86 Bistrita Srl,CA,Romania,ROU,,NONE,"Small car electronics company, no public developer API found",NO_PORTAL
CA91,Voxx International Corp,CA,United States,USA,,NONE,Reclassified from RESTRICTED to NONE - no developer portal found,NO_PORTAL
CA93,Winterpine Marketing Corp,CA,Philippines,PHL,,NONE,"Small car electronics company, no public developer API found",NO_PORTAL
CC1,ABN AMRO Bank NV,CC,Netherlands,NLD,https://developer.abnamro.com/,PUBLIC,Gemini verification: NONE→PUBLIC (ABN AMRO provides a fully public developer portal for PSD2 a),GEMINI_VERIFIED
CC2,Absa Group Ltd,CC,South Africa,ZAF,https://developer.absa.africa/,PUBLIC,Gemini verification: NONE→PUBLIC (Absa API Marketplace provides public access to documentation),GEMINI_VERIFIED
CC3,Abu Dhabi Commercial Bank,CC,United Arab Emirates,ARE,,NONE,ADCB - no public developer API,NO_PORTAL
CC5,Access Bank Plc,CC,Nigeria,NGA,https://developer.accessbankplc.com/,PUBLIC,Gemini verification: NONE→PUBLIC (Offers a public portal with documentation for payments and l),GEMINI_VERIFIED
CC6,AEON Group,CC,Japan,JPN,,NONE,AEON Group - no public developer API,NO_PORTAL
CC8,Agos Ducato SpA,CC,Italy,ITA,,NONE,Agos Ducato - no public developer API,NO_PORTAL
CC9,Agricultural Bank of China Ltd,CC,China,CHN,,NONE,Agricultural Bank of China - no public API,NO_PORTAL
CC10,Akbank TAS,CC,Turkey,TUR,https://apiportal.akbank.com/,NONE,Session 10: Scraper timeout. Human coded with partial resources. Changed PLAT to NONE.,COMPLETED
CC11,Al Rajhi Banking & Investment Corp,CC,Saudi Arabia,SAU,,NONE,Al Rajhi Bank - no public developer API,NO_PORTAL
CC12,Alfa Group Consortium,CC,Russia,RUS,https://developers.alfabank.ru/,PUBLIC,Gemini verification: NONE→PUBLIC (Alfa-Bank provides an extensive public developer portal for ) | URL corrected via web search,GEMINI_VERIFIED
CC16,Alpha Bank SA,CC,Greece,GRC,https://developer.api.alphabank.eu/,REGISTRATION,Gemini verification: NONE→REGISTRATION (Alpha Bank Developer Portal requires registration to view an) | URL corrected via web search,GEMINI_VERIFIED
CC18,American Express Co,CC,United States,USA,https://developer.americanexpress.com/,REGISTRATION,American Express Developers - payment APIs and SDKs,COMPLETE
CC19,ANZ Banking Group Ltd,CC,Australia,AUS,https://developer.online.anz.com/,PUBLIC,Gemini verification: NONE→PUBLIC (ANZ provides a public developer portal for Australia and New) | URL corrected from https://developer.anz.com/,GEMINI_VERIFIED
CC20,Arab National Bank,CC,Saudi Arabia,SAU,,NONE,Session 10: URL DNS failure. No valid developer portal found. Changed PLAT to NONE.,COMPLETED
CC23,AttijariWafa Bank,CC,Morocco,MAR,,NONE,AttijariWafa Bank - no public API,NO_PORTAL
CC25,"Aval, Grupo",CC,Colombia,COL,,NONE,Grupo Aval - no public developer API,NO_PORTAL
CC26,Axis Bank Ltd,CC,India,IND,https://apiportal.axis.bank.in/portal/,PUBLIC,Gemini verification: NONE→PUBLIC (Axis Bank provides public documentation for a wide range of ) | URL corrected from https://www.axisbank.com/developer/,GEMINI_VERIFIED
CC27,Bailican Ltd,CC,Ukraine,UKR,,NONE,Bailican - no public developer API,NO_PORTAL
CC28,Banca Comerciala Romana SA,CC,Romania,ROU,,NONE,BCR Romania - no public developer API,NO_PORTAL
CC30,Banca Transilvania Sa,CC,Romania,ROU,,NONE,Banca Transilvania - no public API,NO_PORTAL
CC32,Banco Bilbao Vizcaya Argentaria SA,CC,Spain,ESP,https://www.bbvaapimarket.com/,PUBLIC,Gemini verification: NONE→PUBLIC (BBVA API Market is a major public platform for global bankin),GEMINI_VERIFIED
CC34,Banco Bradesco SA,CC,Brazil,BRA,https://developers.bradesco.com.br/,PUBLIC,Gemini verification: NONE→PUBLIC (Bradesco provides a comprehensive public portal for Brazilia) | URL corrected via web search,GEMINI_VERIFIED
CC37,Banco Colpatria Multibanca Colpatria SA,CC,Colombia,COL,,NONE,Banco Colpatria - no public API,NO_PORTAL
CC40,Banco Comercial Português SA,CC,Portugal,PRT,https://developer.millenniumbcp.pt/,PUBLIC,Gemini verification: NONE→PUBLIC (Millennium bcp offers a public developer portal for PSD2 and) | URL corrected via web search,GEMINI_VERIFIED
CC44,Banco Davivienda SA,CC,Colombia,COL,https://developers.davivienda.com/,PUBLIC,Gemini verification: NONE→PUBLIC (Davivienda provides a public portal for its API ecosystem in) | URL corrected via web search,GEMINI_VERIFIED
CC45,Banco de Chile,CC,Chile,CHL,,NONE,Banco de Chile - no public API,NO_PORTAL
CC46,Banco de Crédito del Perú,CC,Peru,PER,https://www.bpcbt.com/api-open-banking,PUBLIC,Gemini verification: NONE→PUBLIC (BCP provides public documentation and sandbox access for its) | URL corrected: https://api.viabcp.com/ → https://www.bpcbt.com/api-open-banking,NEEDS_VERIFICATION
CC47,Banco de Crédito Inversiones SA,CC,Chile,CHL,https://developers.bci.cl/,PUBLIC,Gemini verification: NONE→PUBLIC (BCI provides an extensive public developer portal for its di),GEMINI_VERIFIED
CC48,Banco de Galicia Y Buenos Aires SA,CC,Argentina,ARG,https://www.galicia.ar/empresas/open-galicia,PUBLIC,Gemini verification: NONE→PUBLIC (Galicia provides a public portal for corporate and retail ba) | URL corrected: https://api.galicia.com.ar/ → https://www.galicia.ar/empresas/open-galicia,NEEDS_VERIFICATION
CC50,Banco de la Nación Argentina,CC,Argentina,ARG,,NONE,Banco Nación Argentina - no public API,NO_PORTAL
CC51,Banco de la Provincia de Buenos Aires SA,CC,Argentina,ARG,,NONE,Banco Provincia - no public API,NO_PORTAL
CC54,Banco do Brasil SA,CC,Brazil,BRA,https://developers.bb.com.br/,PUBLIC,Gemini verification: NONE→PUBLIC (Banco do Brasil maintains a massive public portal for a vari),GEMINI_VERIFIED
CC55,Banco Falabella SA,CC,Chile,CHL,,NONE,Banco Falabella - no public API,NO_PORTAL
CC59,Banco Macro BanSud SA,CC,Argentina,ARG,,NONE,Banco Macro - no public developer API,NO_PORTAL
CC62,Banco Santander SA,CC,Spain,ESP,https://developer.santander.co.uk/,RESTRICTED,Banco Santander - requires TPP authorization,COMPLETE
CC64,BanColombia SA,CC,Colombia,COL,,NONE,Session 10: URL DNS failure. No valid developer portal found. Changed PLAT to NONE.,COMPLETED
CC65,Bancoppel SA,CC,Mexico,MEX,,NONE,Bancoppel - no public developer API,NO_PORTAL
CC66,Bangkok Bank PCL,CC,Thailand,THA,,NONE,Bangkok Bank - no public developer API,NO_PORTAL
CC67,Bank Al Jazira,CC,Saudi Arabia,SAU,,NONE,Bank Al Jazira - no public developer API,NO_PORTAL
CC69,Bank Central Asia Tbk PT,CC,Indonesia,IDN,https://developer.bca.co.id/,PUBLIC,Gemini verification: NONE→PUBLIC (BCA provides a public portal for one of Indonesia's largest ),GEMINI_VERIFIED
CC70,Bank CIMB Niaga Tbk PT,CC,Indonesia,IDN,https://api.cimbniaga.co.id/,PUBLIC,Gemini verification: NONE→PUBLIC (CIMB Niaga provides a public portal with documentation for v),GEMINI_VERIFIED
CC72,Bank for Investment & Development of Vietnam (BIDV),CC,Vietnam,VNM,,NONE,BIDV Vietnam - no public developer API,NO_PORTAL
CC73,Bank Mandiri (Persero) Tbk PT,CC,Indonesia,IDN,https://developer.bankmandiri.co.id/,PUBLIC,Gemini verification: NONE→PUBLIC (Mandiri provides a public portal for its Mandiri API digital),GEMINI_VERIFIED
CC74,Bank Mega Tbk PT,CC,Indonesia,IDN,,NONE,Bank Mega - no public developer API,NO_PORTAL
CC76,Bank Negara Indonesia (Persero) Tbk PT,CC,Indonesia,IDN,https://digitalservices.bni.co.id/,PUBLIC,Gemini verification: NONE→PUBLIC (BNI provides a public portal for its BNI API Digital ecosyst) | URL corrected: https://api.bni.co.id/ → https://digitalservices.bni.co.id/,NEEDS_VERIFICATION
CC77,Bank of America Corp,CC,United States,USA,https://developer.bankofamerica.com/,REGISTRATION,"Bank of America has CashPro Developer Studio, Data Services API Portal with OAuth 2.0.",NO_PORTAL
CC78,Bank of Ayudhya PCL,CC,Thailand,THA,,NONE,Session 10: Scraper DNS timeout. No scrapeable content. Changed PLAT to NONE.,COMPLETED
CC79,Bank of China Ltd,CC,China,CHN,,NONE,Bank of China - no public developer API,NO_PORTAL
CC80,Bank of Communications Co Ltd,CC,China,CHN,,NONE,Bank of Communications - no public API,NO_PORTAL
CC82,Bank of Montreal Financial Group,CC,Canada,CAN,https://developer.bmo.com/,PUBLIC,Gemini verification: NONE→PUBLIC (BMO provides a public developer portal for APIs in Canada an),GEMINI_VERIFIED
CC83,"Bank of Nova Scotia, The",CC,Canada,CAN,https://developer.scotiabank.com/,PUBLIC,Gemini verification: NONE→PUBLIC (Scotiabank maintains a public developer portal for its globa),GEMINI_VERIFIED
CC84,Bank of the Philippine Islands - BPI,CC,Philippines,PHL,,NONE,Session 10: URL DNS failure. No valid developer portal found. Changed PLAT to NONE.,COMPLETED
CC85,Bank Polska Kasa Opieki SA - Pekao SA Group,CC,Poland,POL,https://developer.pekao.com.pl/,REGISTRATION,Gemini verification: NONE→REGISTRATION (Pekao SA requires registration to access its developer sandb),GEMINI_VERIFIED
CC88,Bankinter SA,CC,Spain,ESP,,NONE,Session 10: URL DNS failure. No valid developer portal found. Changed PLAT to NONE.,COMPLETED
CC90,Barclays Plc,CC,United Kingdom,GBR,https://developer.barclays.com/,REGISTRATION,Barclays API Exchange - open banking APIs,COMPLETE
CC91,BAWAG PSK AG,CC,Austria,AUT,https://developer.bawaggroup.com/,PUBLIC,Session 10: URL corrected from developer.bawag.at to developer.bawaggroup.com. Needs re-scraping.,GEMINI_VERIFIED
CC93,BDO Unibank Inc,CC,Philippines,PHL,,NONE,BDO Unibank - no public developer API,NO_PORTAL
CC95,BMCE,CC,Morocco,MAR,,NONE,BMCE - no public developer API,NO_PORTAL
CC96,BMCI,CC,Morocco,MAR,,NONE,BMCI - no public developer API,NO_PORTAL
CC97,"BNP Paribas, Groupe",CC,France,FRA,https://developers.cib.bnpparibas.com/,PUBLIC,Gemini verification: NONE→PUBLIC (BNP Paribas offers a centralized public portal for global gr) | URL corrected via web search,GEMINI_VERIFIED
CC98,BOC Credit Card (International) Ltd,CC,Hong Kong SAR China,HKG,,NONE,BOC Credit Card - no public API,NO_PORTAL
CC99,BPCE SA (Banques Populaires Caisses d'Epargne Groupe),CC,France,FRA,https://apistore.groupebpce.com/,PUBLIC,Session 10: URL corrected from api.groupebpce.fr to apistore.groupebpce.com. Needs re-scraping.,GEMINI_VERIFIED
CC103,"Caixa Económica Montepio Geral, Grupo",CC,Portugal,PRT,https://www.bancomontepio.pt/en/open-banking-apis,PUBLIC,Gemini verification: NONE→PUBLIC (Montepio provides a public developer portal for PSD2 APIs in) | URL corrected via web search,GEMINI_VERIFIED
CC104,"Caixa Geral de Depósitos, Grupo",CC,Portugal,PRT,https://www.cgd.pt/English/Institutional/News/Pages/SIBS-API-Market.aspx,PUBLIC,Gemini verification: NONE→PUBLIC (CGD offers a public portal for its open banking API ecosyste) | URL corrected via web search,GEMINI_VERIFIED
CC105,Caixabank SA,CC,Spain,ESP,https://www.caixabank.com/en/shareholders-investors/open-banking.html,PUBLIC,Gemini verification: NONE→PUBLIC (CaixaBank provides a public portal for third-party developer),GEMINI_VERIFIED
CC106,Canadian Imperial Bank of Commerce (CIBC),CC,Canada,CAN,,NONE,Session 10: URL DNS failure. No valid developer portal found. Changed PLAT to NONE.,COMPLETED
CC109,Capital One Financial Corp,CC,United States,USA,https://developer.capitalone.com/,PUBLIC,Capital One DevExchange - sandbox available,COMPLETE
CC111,Carrefour SA,CC,France,FRA,,NONE,"Carrefour - retailer financial services, no API",NO_PORTAL
CC112,CAT Administradora de Tarjetas SA,CC,Chile,CHL,,NONE,"CAT - Chilean card admin, no API",NO_PORTAL
CC113,Cathay Financial Holding Co Ltd,CC,Taiwan,TWN,,NONE,Reverted PUBLIC→NONE: Cathay Financial - no developer portal found,REVERTED
CC116,Chevron Corp,CC,United States,USA,,NONE,"Chevron - fuel card, no developer API",NO_PORTAL
CC117,China Construction Bank Corp,CC,China,CHN,,NONE,China Construction Bank - no public developer API,NO_PORTAL
CC118,China Everbright Bank Co Ltd,CC,China,CHN,,NONE,China Everbright Bank - no public API,NO_PORTAL
CC119,China Guangfa Bank Co Ltd,CC,China,CHN,,NONE,China Guangfa Bank - no public API,NO_PORTAL
CC120,China Merchants Bank Co Ltd,CC,China,CHN,,NONE,China Merchants Bank - no public API,NO_PORTAL
CC121,China Minsheng Banking Corp Ltd,CC,China,CHN,,NONE,China Minsheng Bank - no public API,NO_PORTAL
CC122,Chinatrust Financial Holding Co Ltd,CC,Taiwan,TWN,,NONE,Chinatrust - no public developer API,NO_PORTAL
CC123,CIMB Bank Bhd,CC,Malaysia,MYS,,NONE,CIMB Bank - no public developer API,NO_PORTAL
CC124,CITIC Group,CC,China,CHN,,NONE,CITIC Group - no public developer API,NO_PORTAL
CC125,Citigroup Inc,CC,United States,USA,https://developer.citi.com/,REGISTRATION,Citi Developer Hub - global API sandbox,COMPLETE
CC127,Commercial International Bank,CC,Egypt,EGY,,NONE,CIB Egypt - no public developer API,NO_PORTAL
CC128,Commerzbank AG,CC,Germany,DEU,https://developer.commerzbank.com/,PUBLIC,Gemini verification: NONE→PUBLIC (Commerzbank provides a public portal for its API banking ser),GEMINI_VERIFIED
CC129,Commonwealth Bank of Australia (CBA),CC,Australia,AUS,https://www.commbank.com.au/Developer/,PUBLIC,Gemini verification: NONE→PUBLIC (CBA provides a public developer portal for its Australian ba) | URL corrected via web search,GEMINI_VERIFIED
CC131,"Crédit Agricole, Groupe",CC,France,FRA,https://developer.credit-agricole.fr/,PUBLIC,Gemini verification: NONE→PUBLIC (Crédit Agricole offers a public developer portal for the gro) | URL corrected via web search,GEMINI_VERIFIED
CC133,Credit Europe Bank NV,CC,Netherlands,NLD,,NONE,Credit Europe Bank - no public API,NO_PORTAL
CC134,"Crédit Mutuel, Groupe",CC,France,FRA,https://www.creditmutuel.fr/oauth2/en/devportal/index.html,PUBLIC,Gemini verification: NONE→PUBLIC (Crédit Mutuel provides a public developer portal for API doc) | URL corrected via web search,GEMINI_VERIFIED
CC135,Credit Saison Co Ltd,CC,Japan,JPN,,NONE,Credit Saison - no public developer API,NO_PORTAL
CC138,Danske Bank Group,CC,Denmark,DNK,https://developers.danskebank.com/,PUBLIC,Gemini verification: NONE→PUBLIC (Danske Bank provides a comprehensive public developer portal),GEMINI_VERIFIED
CC139,DBS Bank (Taiwan) Ltd,CC,Taiwan,TWN,,NONE,DBS Taiwan - no public developer API,NO_PORTAL
CC141,DBS Group Holdings Ltd,CC,Singapore,SGP,https://www.dbs.com/dbsdevelopers/,PUBLIC,Gemini verification: REGISTRATION→PUBLIC (DBS Developers is a public portal offering extensive banking),GEMINI_VERIFIED
CC142,Desjardins Group,CC,Canada,CAN,,NONE,Session 10: URL DNS failure. No valid developer portal found. Changed PLAT to NONE.,COMPLETED
CC143,Deutsche Bank AG,CC,Germany,DEU,https://developer.db.com/,PUBLIC,Gemini verification: NONE→PUBLIC (Deutsche Bank provides a leading public developer portal for),GEMINI_VERIFIED
CC144,Deutsche Lufthansa AG,CC,Germany,DEU,https://developer.lufthansa.com/,PUBLIC,Gemini verification: NONE→PUBLIC (Lufthansa provides a public developer portal for flight and ),GEMINI_VERIFIED
CC145,Deutscher Sparkassen- & Giroverband eV (DSGV),CC,Germany,DEU,,NONE,Session 10: URL DNS failure. No valid developer portal found. Changed PLAT to NONE.,COMPLETED
CC148,DNB ASA,CC,Norway,NOR,https://developer.dnb.no/,PUBLIC,Gemini verification: NONE→PUBLIC (DNB provides a public developer portal for Norwegian banking),GEMINI_VERIFIED
CC151,E Sun Financial Holding Co Ltd,CC,Taiwan,TWN,,NONE,Reverted PUBLIC→NONE: E.SUN Financial - no developer portal found,REVERTED
CC153,East West Banking Corp,CC,Philippines,PHL,,NONE,East West Bank - no public developer API,NO_PORTAL
CC154,EFG Eurobank Ergasias SA,CC,Greece,GRC,https://developer.eurobank.gr/,PUBLIC,Gemini verification: NONE→PUBLIC (Eurobank provides a public developer portal for Greek bankin),GEMINI_VERIFIED
CC156,Emirates NBD,CC,United Arab Emirates,ARE,https://apisouq.emiratesnbd.com/,PUBLIC,Gemini verification: NONE→PUBLIC (Emirates NBD provides a public developer portal for its Midd) | URL corrected via web search,GEMINI_VERIFIED
CC157,EnterCard Group AB,CC,Sweden,SWE,,NONE,EnterCard - no public developer API,NO_PORTAL
CC158,Erste Group Bank AG,CC,Austria,AUT,https://developers.erstegroup.com/,PUBLIC,Gemini verification: NONE→PUBLIC (Erste Group provides a public portal for its CEE banking API),GEMINI_VERIFIED
CC161,FBN Holdings Plc,CC,Nigeria,NGA,,NONE,FBN Holdings - no public developer API,NO_PORTAL
CC162,Fidelity Bank Plc,CC,Nigeria,NGA,,NONE,Fidelity Bank Nigeria - no public API,NO_PORTAL
CC164,First Abu Dhabi Bank PJSC,CC,United Arab Emirates,ARE,https://developer.bankfab.com/,PUBLIC,Gemini verification: NONE→PUBLIC (FAB provides a public developer portal for its UAE banking A),GEMINI_VERIFIED
CC166,FirstRand Bank Ltd,CC,South Africa,ZAF,,NONE,FirstRand Bank - no public developer API,NO_PORTAL
CC167,Fubon Financial Holding Co Ltd,CC,Taiwan,TWN,,NONE,Fubon Financial - no public developer API,NO_PORTAL
CC168,Garanti Bankasi AS,CC,Turkey,TUR,https://developers.garantibbva.com.tr/,PUBLIC,Gemini verification: NONE→PUBLIC (Garanti BBVA provides a public developer portal for Turkish ),GEMINI_VERIFIED
CC169,Groupe BCP,CC,Morocco,MAR,,NONE,Groupe BCP - no public developer API,NO_PORTAL
CC170,Grupo Financiero Banorte SAB de CV,CC,Mexico,MEX,https://developers.banorte.com/,PUBLIC,Gemini verification: NONE→PUBLIC (Banorte provides a public developer portal for Mexican banki) | URL corrected via web search,GEMINI_VERIFIED
CC172,Grupo Santander,CC,Spain,ESP,https://developer.santander.co.uk/,RESTRICTED,Santander Developers - requires TPP authorization,COMPLETE
CC173,Guaranty Trust Bank Plc,CC,Nigeria,NGA,,NONE,GTBank - no public developer API,NO_PORTAL
CC174,Hana Financial Group Inc,CC,South Korea,KOR,,NONE,Hana Financial - no public developer API,NO_PORTAL
CC175,Hang Seng Bank Ltd,CC,Hong Kong SAR China,HKG,https://develop.hangseng.com/,PUBLIC,Gemini verification: NONE→PUBLIC (Hang Seng provides a public developer portal for Hong Kong b) | URL corrected via web search,GEMINI_VERIFIED
CC176,HDFC Bank Ltd,CC,India,IND,https://developer.hdfc.bank.in/,PUBLIC,Gemini verification: NONE→PUBLIC (HDFC Bank provides an extensive public developer portal for ) | URL corrected from https://apiportal.hdfcbank.com/,GEMINI_VERIFIED
CC178,Hong Leong Bank Bhd,CC,Malaysia,MYS,,NONE,Reverted PUBLIC→NONE: Hong Leong Bank - has APIs but no public portal,REVERTED
CC179,HSBC Holdings Plc,CC,United Kingdom,GBR,https://develop.hsbc.com/,PUBLIC,Gemini verification: REGISTRATION→PUBLIC (HSBC provides a global public developer portal for its API e) | URL corrected from https://develop.hsbc.com/,GEMINI_VERIFIED
CC182,Hyundai Group,CC,South Korea,KOR,,NONE,Hyundai Card - no public developer API,NO_PORTAL
CC184,ICC CAL Ltd,CC,Israel,ISR,,NONE,ICC CAL - no public developer API,NO_PORTAL
CC185,ICICI Bank Ltd,CC,India,IND,,NONE,Session 10: Scraper DNS timeout. No scrapeable content. Changed PLAT to NONE.,COMPLETED
CC187,Industrial & Commercial Bank of China Ltd,CC,China,CHN,,NONE,ICBC - no public developer API,NO_PORTAL
CC188,Industrial Bank Co Ltd,CC,China,CHN,,NONE,Industrial Bank China - no public API,NO_PORTAL
CC189,ING Groep NV,CC,Netherlands,NLD,https://developer.ing.com/,PUBLIC,Gemini verification: REGISTRATION→PUBLIC (ING provides a comprehensive public developer portal for its),GEMINI_VERIFIED
CC190,Intercorp Perú Ltd,CC,Peru,PER,,NONE,Intercorp Peru - no public developer API,NO_PORTAL
CC191,International Card Services BV,CC,Netherlands,NLD,,NONE,ICS BV - no public developer API,NO_PORTAL
CC194,Investec Bank Ltd,CC,South Africa,ZAF,https://developer.investec.com/,PUBLIC,Gemini verification: NONE→PUBLIC (Investec provides a public developer portal for its UK and S),GEMINI_VERIFIED
CC195,IsraCard Ltd,CC,Israel,ISR,,NONE,IsraCard - no public developer API,NO_PORTAL
CC196,Itaú Unibanco Holding SA,CC,Brazil,BRA,https://devportal.itau.com.br/,PUBLIC,Gemini verification: NONE→PUBLIC (Itaú provides a major public developer portal for Brazilian ) | URL corrected from https://www.itau.com.br/developers/,GEMINI_VERIFIED
