,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Market Sizes | Historical | Period growth,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2020 - 2025 %,2020 - 2025 CAGR %,2020 - 2025 Absolute
Malaysia,Debit Card Transactions,Retail Value RSP,MYR million,Current Prices,185.5,23.3,110390.6
Malaysia,Pre-Paid Card Transactions,Retail Value RSP,MYR million,Current Prices,45.6,7.8,17516.3
Malaysia,Store Card Transactions,Retail Value RSP,MYR million,Current Prices,-,-,-
Malaysia,Commercial Payment Transactions,Retail Value RSP,MYR million,Current Prices,64.4,10.4,1033064.7
Malaysia,Personal Payment Transactions,Retail Value RSP,MYR million,Current Prices,45.1,7.7,348786.4
Malaysia,Total Non-Card Transactions,Retail Value RSP,MYR million,Current Prices,53.4,8.9,1144072.8
Malaysia,Mobile Payments,Retail Value RSP,MYR million,Current Prices,149.2,20.0,104432.2
Philippines,Financial Cards in Circulation,Number of Cards,000 cards,-,62.2,10.2,99594.4
Philippines,ATM Cards,Number of Cards,000 cards,-,71.5,11.4,65725.5
Philippines,Charge Cards,Number of Cards,000 cards,-,-,-,-
Philippines,Credit Cards,Number of Cards,000 cards,-,107.2,15.7,11054.9
Philippines,Debit Cards,Number of Cards,000 cards,-,155.5,20.6,53262.7
Philippines,Pre-Paid Cards,Number of Cards,000 cards,-,46.5,7.9,53854.7
Philippines,Store Cards,Number of Cards,000 cards,-,-,-,-
Philippines,Transactions,Retail Value RSP,PHP million,Current Prices,13.2,2.5,4068196.6
Philippines,Total Card Transactions,Retail Value RSP,PHP million,Current Prices,26.5,4.8,2079628.6
Philippines,ATM Transactions,Retail Value RSP,PHP million,Current Prices,-2.9,-0.6,-177080.1
Philippines,Card Payment Transactions,Retail Value RSP,PHP million,Current Prices,136.7,18.8,2256708.7
Philippines,Charge Card Transactions,Retail Value RSP,PHP million,Current Prices,-,-,-
Philippines,Credit Card Transactions,Retail Value RSP,PHP million,Current Prices,260.1,29.2,1609751.7
Philippines,Debit Card Transactions,Retail Value RSP,PHP million,Current Prices,85.4,13.1,409953.5
Philippines,Pre-Paid Card Transactions,Retail Value RSP,PHP million,Current Prices,43.0,7.4,237003.5
Philippines,Store Card Transactions,Retail Value RSP,PHP million,Current Prices,-,-,-
Philippines,Commercial Payment Transactions,Retail Value RSP,PHP million,Current Prices,-8.8,-1.8,-1202890.3
Philippines,Personal Payment Transactions,Retail Value RSP,PHP million,Current Prices,49.8,8.4,5448167.0
Philippines,Total Non-Card Transactions,Retail Value RSP,PHP million,Current Prices,8.6,1.7,1988568.0
Philippines,Mobile Payments,Retail Value RSP,PHP million,Current Prices,228.2,26.8,889957.4
Singapore,Financial Cards in Circulation,Number of Cards,000 cards,-,12.2,2.3,6095.8
Singapore,ATM Cards,Number of Cards,000 cards,-,19.9,3.7,3710.5
Singapore,Charge Cards,Number of Cards,000 cards,-,13.1,2.5,25.0
Singapore,Credit Cards,Number of Cards,000 cards,-,13.8,2.6,891.4
Singapore,Debit Cards,Number of Cards,000 cards,-,28.8,5.2,3470.4
Singapore,Pre-Paid Cards,Number of Cards,000 cards,-,5.5,1.1,1716.6
Singapore,Store Cards,Number of Cards,000 cards,-,-,-,-
Singapore,Transactions,Retail Value RSP,SGD million,Current Prices,110.7,16.1,1027598.8
Singapore,Total Card Transactions,Retail Value RSP,SGD million,Current Prices,48.7,8.3,70263.3
Singapore,ATM Transactions,Retail Value RSP,SGD million,Current Prices,4.7,0.9,2302.2
Singapore,Card Payment Transactions,Retail Value RSP,SGD million,Current Prices,71.1,11.3,67961.1
Singapore,Charge Card Transactions,Retail Value RSP,SGD million,Current Prices,47.4,8.1,1698.9
Singapore,Credit Card Transactions,Retail Value RSP,SGD million,Current Prices,86.7,13.3,47056.2
Singapore,Debit Card Transactions,Retail Value RSP,SGD million,Current Prices,51.8,8.7,18034.8
Singapore,Pre-Paid Card Transactions,Retail Value RSP,SGD million,Current Prices,40.7,7.1,1171.3
Singapore,Store Card Transactions,Retail Value RSP,SGD million,Current Prices,-,-,-
Singapore,Commercial Payment Transactions,Retail Value RSP,SGD million,Current Prices,127.4,17.9,943690.9
Singapore,Personal Payment Transactions,Retail Value RSP,SGD million,Current Prices,58.9,9.7,81605.7
Singapore,Total Non-Card Transactions,Retail Value RSP,SGD million,Current Prices,122.2,17.3,957335.4
Singapore,Mobile Payments,Retail Value RSP,SGD million,Current Prices,118.2,16.9,14579.9
South Korea,Financial Cards in Circulation,Number of Cards,000 cards,-,10.2,2.0,34695.7
South Korea,ATM Cards,Number of Cards,000 cards,-,8.0,1.5,14008.0
South Korea,Charge Cards,Number of Cards,000 cards,-,-,-,-
South Korea,Credit Cards,Number of Cards,000 cards,-,20.1,3.7,22891.0
South Korea,Debit Cards,Number of Cards,000 cards,-,5.2,1.0,8671.6
South Korea,Pre-Paid Cards,Number of Cards,000 cards,-,6.8,1.3,11495.0
South Korea,Store Cards,Number of Cards,000 cards,-,9.0,1.7,249.6
South Korea,Transactions,Retail Value RSP,KRW billion,Current Prices,36.7,6.5,1247283.5
South Korea,Total Card Transactions,Retail Value RSP,KRW billion,Current Prices,36.5,6.4,351618.4
South Korea,ATM Transactions,Retail Value RSP,KRW billion,Current Prices,-69.8,-21.3,-25702.5
South Korea,Card Payment Transactions,Retail Value RSP,KRW billion,Current Prices,40.7,7.1,377320.8
South Korea,Charge Card Transactions,Retail Value RSP,KRW billion,Current Prices,-,-,-
South Korea,Credit Card Transactions,Retail Value RSP,KRW billion,Current Prices,43.9,7.5,314791.1
South Korea,Debit Card Transactions,Retail Value RSP,KRW billion,Current Prices,29.8,5.4,58960.7
South Korea,Pre-Paid Card Transactions,Retail Value RSP,KRW billion,Current Prices,40.1,7.0,3323.4
South Korea,Store Card Transactions,Retail Value RSP,KRW billion,Current Prices,7.2,1.4,245.6
South Korea,Commercial Payment Transactions,Retail Value RSP,KRW billion,Current Prices,40.7,7.1,1017980.6
South Korea,Personal Payment Transactions,Retail Value RSP,KRW billion,Current Prices,29.6,5.3,255005.4
South Korea,Total Non-Card Transactions,Retail Value RSP,KRW billion,Current Prices,36.8,6.5,895665.1
South Korea,Mobile Payments,Retail Value RSP,KRW billion,Current Prices,138.1,18.9,216622.7
Taiwan,Financial Cards in Circulation,Number of Cards,000 cards,-,27.7,5.0,84006.1
Taiwan,ATM Cards,Number of Cards,000 cards,-,8.0,1.6,11579.2
Taiwan,Charge Cards,Number of Cards,000 cards,-,9.1,1.8,5.8
Taiwan,Credit Cards,Number of Cards,000 cards,-,18.6,3.5,9243.0
Taiwan,Debit Cards,Number of Cards,000 cards,-,17.9,3.3,19375.0
Taiwan,Pre-Paid Cards,Number of Cards,000 cards,-,38.1,6.7,55382.4
Taiwan,Store Cards,Number of Cards,000 cards,-,-,-,-
Taiwan,Transactions,Retail Value RSP,TWD million,Current Prices,4.8,0.9,1247467.0
Taiwan,Total Card Transactions,Retail Value RSP,TWD million,Current Prices,38.5,6.7,2145221.4
Taiwan,ATM Transactions,Retail Value RSP,TWD million,Current Prices,3.8,0.7,88602.0
Taiwan,Card Payment Transactions,Retail Value RSP,TWD million,Current Prices,63.4,10.3,2056619.4
Taiwan,Charge Card Transactions,Retail Value RSP,TWD million,Current Prices,50.7,8.5,7975.9
Taiwan,Credit Card Transactions,Retail Value RSP,TWD million,Current Prices,68.3,11.0,2050849.1
Taiwan,Debit Card Transactions,Retail Value RSP,TWD million,Current Prices,-1.6,-0.3,-2192.2
Taiwan,Pre-Paid Card Transactions,Retail Value RSP,TWD million,Current Prices,0.0,0.0,-13.4
Taiwan,Store Card Transactions,Retail Value RSP,TWD million,Current Prices,-,-,-
Taiwan,Commercial Payment Transactions,Retail Value RSP,TWD million,Current Prices,-10.7,-2.2,-1815134.3
Taiwan,Personal Payment Transactions,Retail Value RSP,TWD million,Current Prices,45.2,7.7,2973999.3
Taiwan,Total Non-Card Transactions,Retail Value RSP,TWD million,Current Prices,-4.4,-0.9,-897754.4
Taiwan,Mobile Payments,Retail Value RSP,TWD million,Current Prices,128.4,18.0,821364.2
Thailand,Financial Cards in Circulation,Number of Cards,000 cards,-,0.8,0.2,929.4
Thailand,ATM Cards,Number of Cards,000 cards,-,-12.7,-2.7,-12651.1
Thailand,Charge Cards,Number of Cards,000 cards,-,16.8,3.2,107.1
Thailand,Credit Cards,Number of Cards,000 cards,-,5.0,1.0,1220.1
Thailand,Debit Cards,Number of Cards,000 cards,-,-13.4,-2.8,-8560.6
Thailand,Pre-Paid Cards,Number of Cards,000 cards,-,61.2,10.0,13285.0
Thailand,Store Cards,Number of Cards,000 cards,-,29.1,5.2,295.5
Thailand,Transactions,Retail Value RSP,THB million,Current Prices,7.5,1.5,2313605.6
Thailand,Total Card Transactions,Retail Value RSP,THB million,Current Prices,-28.7,-6.5,-2284099.2
Thailand,ATM Transactions,Retail Value RSP,THB million,Current Prices,-45.9,-11.6,-2948000.0
Thailand,Card Payment Transactions,Retail Value RSP,THB million,Current Prices,43.3,7.5,663900.8
Thailand,Charge Card Transactions,Retail Value RSP,THB million,Current Prices,16.2,3.0,893.7
Thailand,Credit Card Transactions,Retail Value RSP,THB million,Current Prices,47.8,8.1,626000.0
Thailand,Debit Card Transactions,Retail Value RSP,THB million,Current Prices,8.2,1.6,14836.1
Thailand,Pre-Paid Card Transactions,Retail Value RSP,THB million,Current Prices,141.7,19.3,20662.7
Thailand,Store Card Transactions,Retail Value RSP,THB million,Current Prices,6.7,1.3,1508.4
Thailand,Commercial Payment Transactions,Retail Value RSP,THB million,Current Prices,13.9,2.6,2314176.7
Thailand,Personal Payment Transactions,Retail Value RSP,THB million,Current Prices,38.4,6.7,2947428.9
Thailand,Total Non-Card Transactions,Retail Value RSP,THB million,Current Prices,20.2,3.7,4597704.8
Thailand,Mobile Payments,Retail Value RSP,THB million,Current Prices,165.6,21.6,1788484.3
Vietnam,Financial Cards in Circulation,Number of Cards,000 cards,-,49.2,8.3,57957.2
Vietnam,ATM Cards,Number of Cards,000 cards,-,76.9,12.1,90470.5
Vietnam,Charge Cards,Number of Cards,000 cards,-,-,-,-
Vietnam,Credit Cards,Number of Cards,000 cards,-,265.5,29.6,15735.5
Vietnam,Debit Cards,Number of Cards,000 cards,-,38.5,6.7,40953.3
Vietnam,Pre-Paid Cards,Number of Cards,000 cards,-,23.8,4.4,1268.4
Vietnam,Store Cards,Number of Cards,000 cards,-,-,-,-
Vietnam,Transactions,Retail Value RSP,VND billion,Current Prices,51.9,8.7,7338429.0
Vietnam,Total Card Transactions,Retail Value RSP,VND billion,Current Prices,37.0,6.5,1281620.6
Vietnam,ATM Transactions,Retail Value RSP,VND billion,Current Prices,-0.6,-0.1,-15854.3
Vietnam,Card Payment Transactions,Retail Value RSP,VND billion,Current Prices,163.5,21.4,1297475.0
Vietnam,Charge Card Transactions,Retail Value RSP,VND billion,Current Prices,-,-,-
Vietnam,Credit Card Transactions,Retail Value RSP,VND billion,Current Prices,272.2,30.1,946188.2
Vietnam,Debit Card Transactions,Retail Value RSP,VND billion,Current Prices,84.8,13.1,356846.2
Vietnam,Pre-Paid Card Transactions,Retail Value RSP,VND billion,Current Prices,-21.9,-4.8,-5559.4
Vietnam,Store Card Transactions,Retail Value RSP,VND billion,Current Prices,-,-,-
Vietnam,Commercial Payment Transactions,Retail Value RSP,VND billion,Current Prices,72.1,11.5,5173946.3
Vietnam,Personal Payment Transactions,Retail Value RSP,VND billion,Current Prices,50.7,8.6,2180337.0
Vietnam,Total Non-Card Transactions,Retail Value RSP,VND billion,Current Prices,56.7,9.4,6056808.4
Vietnam,Mobile Payments,Retail Value RSP,VND billion,Current Prices,514.6,43.8,244479.9
Australia,Financial Cards in Circulation,Number of Cards,000 cards,-,33.3,5.9,46469.8
Australia,ATM Cards,Number of Cards,000 cards,-,11.1,2.1,7689.3
Australia,Charge Cards,Number of Cards,000 cards,-,5.9,1.1,81.8
Australia,Credit Cards,Number of Cards,000 cards,-,-12.6,-2.6,-2126.5
Australia,Debit Cards,Number of Cards,000 cards,-,24.7,4.5,9994.8
Australia,Pre-Paid Cards,Number of Cards,000 cards,-,48.1,8.2,38544.0
Australia,Store Cards,Number of Cards,000 cards,-,-4.3,-0.9,-24.4
Australia,Transactions,Retail Value RSP,AUD million,Current Prices,31.7,5.7,907608.8
Australia,Total Card Transactions,Retail Value RSP,AUD million,Current Prices,47.3,8.1,375332.3
Australia,ATM Transactions,Retail Value RSP,AUD million,Current Prices,-0.2,0.0,-234.4
Australia,Card Payment Transactions,Retail Value RSP,AUD million,Current Prices,54.6,9.1,375566.7
Australia,Charge Card Transactions,Retail Value RSP,AUD million,Current Prices,90.0,13.7,18750.9
Australia,Credit Card Transactions,Retail Value RSP,AUD million,Current Prices,42.6,7.4,113775.0
Australia,Debit Card Transactions,Retail Value RSP,AUD million,Current Prices,58.9,9.7,229975.3
Australia,Pre-Paid Card Transactions,Retail Value RSP,AUD million,Current Prices,157.5,20.8,13024.5
Australia,Store Card Transactions,Retail Value RSP,AUD million,Current Prices,3.2,0.6,40.9
Australia,Commercial Payment Transactions,Retail Value RSP,AUD million,Current Prices,28.4,5.1,549447.9
Australia,Personal Payment Transactions,Retail Value RSP,AUD million,Current Prices,43.5,7.5,358395.3
Australia,Total Non-Card Transactions,Retail Value RSP,AUD million,Current Prices,25.7,4.7,532276.5
Australia,Mobile Payments,Retail Value RSP,AUD million,Current Prices,86.4,13.3,80181.3
Czech Republic,Financial Cards in Circulation,Number of Cards,000 cards,-,14.8,2.8,2398.8
Czech Republic,ATM Cards,Number of Cards,000 cards,-,12.8,2.4,1850.3
Czech Republic,Charge Cards,Number of Cards,000 cards,-,-95.5,-46.1,-18.3
Czech Republic,Credit Cards,Number of Cards,000 cards,-,-16.0,-3.4,-238.9
Czech Republic,Debit Cards,Number of Cards,000 cards,-,17.8,3.3,2178.8
Czech Republic,Pre-Paid Cards,Number of Cards,000 cards,-,19.4,3.6,477.3
Czech Republic,Store Cards,Number of Cards,000 cards,-,-,-,-
Czech Republic,Transactions,Retail Value RSP,CZK million,Current Prices,59.7,9.8,5336123.1
Czech Republic,Total Card Transactions,Retail Value RSP,CZK million,Current Prices,68.1,11.0,1140881.2
Czech Republic,ATM Transactions,Retail Value RSP,CZK million,Current Prices,13.3,2.5,97645.2
Czech Republic,Card Payment Transactions,Retail Value RSP,CZK million,Current Prices,111.1,16.1,1043236.0
Czech Republic,Charge Card Transactions,Retail Value RSP,CZK million,Current Prices,-95.9,-47.3,-2463.1
Czech Republic,Credit Card Transactions,Retail Value RSP,CZK million,Current Prices,72.6,11.5,65565.7
Czech Republic,Debit Card Transactions,Retail Value RSP,CZK million,Current Prices,116.4,16.7,971405.6
Czech Republic,Pre-Paid Card Transactions,Retail Value RSP,CZK million,Current Prices,75.2,11.9,8727.8
Czech Republic,Store Card Transactions,Retail Value RSP,CZK million,Current Prices,-,-,-
Czech Republic,Commercial Payment Transactions,Retail Value RSP,CZK million,Current Prices,67.7,10.9,4085420.3
Czech Republic,Personal Payment Transactions,Retail Value RSP,CZK million,Current Prices,53.3,8.9,1153057.6
Czech Republic,Total Non-Card Transactions,Retail Value RSP,CZK million,Current Prices,57.8,9.6,4195241.9
Czech Republic,Mobile Payments,Retail Value RSP,CZK million,Current Prices,555.3,45.6,911513.5
Hungary,Financial Cards in Circulation,Number of Cards,000 cards,-,19.7,3.7,3118.7
Hungary,ATM Cards,Number of Cards,000 cards,-,6.1,1.2,583.4
Hungary,Charge Cards,Number of Cards,000 cards,-,-43.5,-10.8,-6.5
Hungary,Credit Cards,Number of Cards,000 cards,-,-4.7,-1.0,-56.1
Hungary,Debit Cards,Number of Cards,000 cards,-,6.6,1.3,526.0
Hungary,Pre-Paid Cards,Number of Cards,000 cards,-,39.9,7.0,2655.8
Hungary,Store Cards,Number of Cards,000 cards,-,-,-,-
Hungary,Transactions,Retail Value RSP,HUF million,Current Prices,91.7,13.9,71817411.6
Hungary,Total Card Transactions,Retail Value RSP,HUF million,Current Prices,70.8,11.3,11353056.1
Hungary,ATM Transactions,Retail Value RSP,HUF million,Current Prices,16.8,3.2,1369332.9
Hungary,Card Payment Transactions,Retail Value RSP,HUF million,Current Prices,126.6,17.8,9983723.1
Hungary,Charge Card Transactions,Retail Value RSP,HUF million,Current Prices,19.6,3.7,1925.6
Hungary,Credit Card Transactions,Retail Value RSP,HUF million,Current Prices,123.5,17.4,978903.0
Hungary,Debit Card Transactions,Retail Value RSP,HUF million,Current Prices,115.6,16.6,7534194.9
Hungary,Pre-Paid Card Transactions,Retail Value RSP,HUF million,Current Prices,258.9,29.1,1468699.7
Hungary,Store Card Transactions,Retail Value RSP,HUF million,Current Prices,-,-,-
Hungary,Commercial Payment Transactions,Retail Value RSP,HUF million,Current Prices,107.8,15.7,55263107.7
Hungary,Personal Payment Transactions,Retail Value RSP,HUF million,Current Prices,80.6,12.5,15184971.0
Hungary,Total Non-Card Transactions,Retail Value RSP,HUF million,Current Prices,97.1,14.5,60464355.6
Hungary,Mobile Payments,Retail Value RSP,HUF million,Current Prices,1277.5,69.0,4358519.9
Poland,Financial Cards in Circulation,Number of Cards,000 cards,-,10.2,2.0,4977.1
Poland,ATM Cards,Number of Cards,000 cards,-,13.1,2.5,5659.2
